ACM_CCS;SCOPUS_COD;areas;SBC_GA
General and reference;1700;General Computer Science;GA 4 Aplicações da Computação
Hardware;1708;Hardware and Architecture;GA 1 Sistemas Computacionais
Hardware;1711;Signal Processing;GA 1 Sistemas Computacionais
Hardware;1712;Software;GA 2 Sistemas de Software
Computer systems organization;1712;Software;GA 2 Sistemas de Software
Networks;1705;Computer Networks and Communications;GA 1 Sistemas Computacionais
Software and its engineering;1712;Software;GA 2 Sistemas de Software
Theory of computation;1703;Computational Theory and Mathematics;GA 5 Gestão de Dados e de Informações
Mathematics of computing;1703;Computational Theory and Mathematics;GA 2 Sistemas de Software
Information systems;1710;Information Systems;GA 2 Sistemas de Software
Security and privacy;1705;Computer Networks and Communications;GA 1 Sistemas Computacionais
Human-centered computing;1709;Human-Computer Interaction;GA 3 Técnicas e Tecnologias de Computação
Computing methodologies;1702;Artificial Intelligence;GA 3 Técnicas e Tecnologias de Computação
Computing methodologies;1707;Computer Vision and Pattern Recognition;GA 4 Aplicações da Computação
Computing methodologies;1704;Computer Graphics and Computer-Aided Design;GA 4 Aplicações da Computação
Applied computing;1706;Computer Science Applications;GA 4 Aplicações da Computação
Applied computing;1704;Computer Graphics and Computer-Aided Design;GA 4 Aplicações da Computação
Social and professional topics;1701;Computer Science (miscellaneous);GA 4 Aplicações da Computação
